arm,model,id,step_idx,epoch,efficacy,specificity,soft_shift,prediction_changed
base,Base LLaMA-3B,9-317,3,3,99.72776233178617,95.0,-24.609375,0
base,Base LLaMA-3B,9-317,3,4,99.85428167681518,95.0,-25.0,0
base,Base LLaMA-3B,9-317,3,5,99.89667023613524,95.0,-25.390625,0
base,Base LLaMA-3B,9-317,5,1,96.46956820149143,100.0,68.7591552734375,1
base,Base LLaMA-3B,9-317,5,2,99.49139307689873,95.0,69.23828125,1
base,Base LLaMA-3B,9-317,5,3,99.71020451067766,95.0,69.2718505859375,1
base,Base LLaMA-3B,9-317,5,4,99.78125088818172,85.0,69.27337646484375,1
base,Base LLaMA-3B,9-317,5,5,99.80082666714677,85.0,69.27337646484375,1
base,Base LLaMA-3B,9-317,7,1,88.14964664660944,95.0,59.912109375,1
base,Base LLaMA-3B,9-317,7,2,96.44187868171498,95.0,66.61376953125,1
base,Base LLaMA-3B,9-317,7,3,97.14096920083371,95.0,67.236328125,1
base,Base LLaMA-3B,9-317,7,4,97.55454136530511,95.0,67.333984375,1
base,Base LLaMA-3B,9-317,7,5,97.77338457478403,95.0,68.109130859375,1
base,Base LLaMA-3B,7-417,1,1,93.68169209356077,100.0,10.3515625,1
base,Base LLaMA-3B,7-417,1,2,97.74713793674326,100.0,14.2578125,1
base,Base LLaMA-3B,7-417,1,3,98.9358233133784,100.0,14.6484375,1
base,Base LLaMA-3B,7-417,1,4,99.31291589042385,95.0,15.234375,1
base,Base LLaMA-3B,7-417,1,5,99.39365040148395,95.0,16.40625,1
base,Base LLaMA-3B,7-417,3,1,96.63123844411354,100.0,12.109375,1
base,Base LLaMA-3B,7-417,3,2,99.51468388361869,95.0,19.04296875,1
base,Base LLaMA-3B,7-417,3,3,99.8039145634595,95.0,21.09375,1
base,Base LLaMA-3B,7-417,3,4,99.86523258173867,95.0,26.953125,1
base,Base LLaMA-3B,7-417,3,5,99.90140205052722,95.0,27.24609375,1
base,Base LLaMA-3B,7-417,5,1,93.08775009567289,100.0,27.83203125,1
base,Base LLaMA-3B,7-417,5,2,98.13959317674671,90.0,37.7685546875,1
base,Base LLaMA-3B,7-417,5,3,99.14824368984709,85.0,38.8671875,1
base,Base LLaMA-3B,7-417,5,4,99.37684177143821,85.0,38.3544921875,1
base,Base LLaMA-3B,7-417,5,5,99.5440877006775,85.0,38.8916015625,1
base,Base LLaMA-3B,7-417,7,1,68.7784773353463,85.0,43.0450439453125,1
base,Base LLaMA-3B,7-417,7,2,92.64194827818828,80.0,43.288421630859375,1
base,Base LLaMA-3B,7-417,7,3,95.09848085828932,80.0,43.256378173828125,1
base,Base LLaMA-3B,7-417,7,4,96.93270769834665,80.0,43.227386474609375,1
base,Base LLaMA-3B,7-417,7,5,97.95674283109362,80.0,43.227386474609375,1
base,Base LLaMA-3B,3,0,1,85.25199696757207,90.0,4.6875,0
base,Base LLaMA-3B,3,0,2,94.13364969881192,90.0,1.5625,0
base,Base LLaMA-3B,3,0,3,96.60481691976537,95.0,-0.390625,0
base,Base LLaMA-3B,3,0,4,97.27189375322432,95.0,0.0,0
base,Base LLaMA-3B,3,0,5,97.35582875844248,95.0,-1.171875,0
base,Base LLaMA-3B,3,1,1,75.82670984577217,100.0,45.8984375,0
base,Base LLaMA-3B,3,1,2,86.85721010904486,100.0,53.7109375,1
base,Base LLaMA-3B,3,1,3,91.10714352678754,95.0,58.0078125,1
base,Base LLaMA-3B,3,1,4,91.38074795673438,95.0,64.55078125,1
base,Base LLaMA-3B,3,1,5,91.64593446333883,95.0,66.50390625,1
base,Base LLaMA-3B,3,2,1,82.95871488698133,100.0,18.75,0
base,Base LLaMA-3B,3,2,2,90.73481399166945,100.0,32.421875,0
base,Base LLaMA-3B,3,2,3,94.38038061800702,95.0,42.1875,0
base,Base LLaMA-3B,3,2,4,95.55451517064725,95.0,44.140625,0
base,Base LLaMA-3B,3,2,5,96.37170102693061,95.0,46.2890625,1
base,Base LLaMA-3B,3,3,1,92.82642194879799,95.0,37.3046875,0
base,Base LLaMA-3B,3,3,2,98.09919104568665,90.0,36.9140625,0
base,Base LLaMA-3B,3,3,3,99.34309800297379,90.0,36.9140625,0
base,Base LLaMA-3B,3,3,4,99.58892123438368,90.0,33.984375,0
base,Base LLaMA-3B,3,3,5,99.75066812509688,90.0,33.984375,0
base,Base LLaMA-3B,1787,0,1,88.24186682804344,100.0,19.53125,1
base,Base LLaMA-3B,1787,0,2,94.94288993880934,100.0,29.296875,1
base,Base LLaMA-3B,1787,0,3,97.16321835502869,95.0,36.03515625,1
base,Base LLaMA-3B,1787,0,4,97.92456621263003,95.0,38.720703125,1
base,Base LLaMA-3B,1787,0,5,98.27940495741487,90.0,39.892578125,1
base,Base LLaMA-3B,1787,1,1,82.82505843131713,100.0,10.9375,1
base,Base LLaMA-3B,1787,1,2,93.06069631446834,95.0,10.546875,1
base,Base LLaMA-3B,1787,1,3,97.28252963152676,95.0,10.3515625,1
base,Base LLaMA-3B,1787,1,4,98.54544292861299,90.0,9.5703125,1
base,Base LLaMA-3B,1787,1,5,99.08976144366872,90.0,9.765625,1
base,Base LLaMA-3B,1787,2,1,77.68698398515703,100.0,42.138671875,1
base,Base LLaMA-3B,1787,2,2,88.24186682804344,100.0,47.61962890625,1
base,Base LLaMA-3B,1787,2,3,92.52607582390743,95.0,48.25439453125,1
base,Base LLaMA-3B,1787,2,4,94.53196026320853,90.0,48.4130859375,1
base,Base LLaMA-3B,1787,2,5,95.3229377616041,90.0,48.388671875,1
base,Base LLaMA-3B,1787,3,1,82.14088653875645,95.0,40.0390625,1
base,Base LLaMA-3B,1787,3,2,94.2918844896113,95.0,46.728515625,1
base,Base LLaMA-3B,1787,3,3,95.69128836003091,90.0,46.630859375,1
base,Base LLaMA-3B,1787,3,4,96.01509315328374,90.0,46.2158203125,1
base,Base LLaMA-3B,1787,3,5,96.37170102693061,90.0,47.10693359375,1
base,Base LLaMA-3B,1787,4,1,76.34051868213501,100.0,8.3984375,1
base,Base LLaMA-3B,1787,4,2,90.80691624121661,95.0,-16.015625,0
base,Base LLaMA-3B,1787,4,3,91.88713205767291,95.0,-10.15625,0
base,Base LLaMA-3B,1787,4,4,92.13673876337887,95.0,-12.5,0
base,Base LLaMA-3B,1787,4,5,91.49778739589203,95.0,-12.109375,0
base,Base LLaMA-3B,1759,0,1,89.54209987109985,85.0,1.171875,0
base,Base LLaMA-3B,1759,0,2,95.77462638710077,85.0,1.171875,0
base,Base LLaMA-3B,1759,0,3,96.65745435452794,90.0,1.171875,0
base,Base LLaMA-3B,1759,0,4,97.43718135503588,95.0,1.953125,0
base,Base LLaMA-3B,1759,0,5,97.73832048393311,95.0,2.34375,0
base,Base LLaMA-3B,1759,2,1,81.9303689606251,100.0,2.34375,0
base,Base LLaMA-3B,1759,2,2,92.34883681973356,100.0,1.171875,0
base,Base LLaMA-3B,1759,2,3,94.82296402972531,90.0,1.171875,0
base,Base LLaMA-3B,1759,2,4,95.96812033236124,95.0,1.171875,0
base,Base LLaMA-3B,1759,2,5,96.60481691976537,100.0,1.171875,0
base,Base LLaMA-3B,1759,4,1,86.36032689815003,100.0,0.0,0
base,Base LLaMA-3B,1759,4,2,98.60661967136092,95.0,-0.390625,0
base,Base LLaMA-3B,1759,4,3,99.53327605206846,95.0,-0.390625,0
